"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"170","23:52:31.167810","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"171","23:52:31.177491","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"172","23:52:31.178372","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"173","23:52:31.179111","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"174","23:52:31.179964","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"175","23:52:31.180724","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"176","23:52:31.181615","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"177","23:52:31.182445","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"178","23:52:31.183365","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"179","23:52:31.185834","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"180","23:52:31.186982","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"181","23:52:31.187718","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"182","23:52:31.188626","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"183","23:52:31.201055","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"184","23:52:31.201755","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"185","23:52:31.261355","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"186","23:52:31.262162","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"187","23:52:31.731604","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"188","23:52:31.912389","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"189","23:52:32.095091","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"190","23:52:32.280303","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"191","23:52:32.336642","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"192","23:52:32.399449","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","",""
"193","23:52:32.519144","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"194","23:52:32.664330","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"195","23:52:32.665284","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"196","23:52:32.701750","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"197","23:52:32.702877","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"198","23:52:32.724471","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"199","23:52:32.725438","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"200","23:52:32.846862","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"201","23:52:32.847512","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"202","23:52:32.875248","controller","host","HCI_EVT","26","Rcvd LE Meta (LE Advertising Report)","","",""
"203","23:52:32.876197","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"204","23:52:32.903765","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","",""
"205","23:52:32.909464","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"206","23:52:32.910434","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"207","23:52:32.979268","host","controller","HCI_CMD","17","Sent Create Connection","","",""
"208","23:52:32.981801","controller","host","HCI_EVT","7","Rcvd Command Status (Create Connection)","","",""
"209","23:52:33.123938","controller","host","HCI_EVT","14","Rcvd Connect Complete","","",""
"210","23:52:33.124911","host","controller","HCI_CMD","6","Sent Read Clock offset","","",""
"211","23:52:33.125662","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a ()","L2CAP","15","Sent Information Request (Extended Features Mask)","","",""
"212","23:52:33.128344","controller","host","HCI_EVT","7","Rcvd Command Status (Read Clock offset)","","",""
"213","23:52:33.129205","host","controller","HCI_CMD","6","Sent Read Remote Version Information","","",""
"214","23:52:33.131641","controller","host","HCI_EVT","7","Rcvd Command Status (Read Remote Version Information)","","",""
"215","23:52:33.132465","host","controller","HCI_CMD","6","Sent Read Remote Supported Features","","",""
"216","23:52:33.135944","controller","host","HCI_EVT","7","Rcvd Command Status (Read Remote Supported Features)","","",""
"217","23:52:33.137222","controller","host","HCI_EVT","8","Rcvd Read Clock Offset Complete","","",""
"218","23:52:33.138156","host","controller","HCI_CMD","14","Sent Remote Name Request","","",""
"219","23:52:33.140106","WbElectr_00:12:4a ()","AmazonTe_ad:f0:92 (Amazon Fire)","L2CAP","21","Rcvd Information Response (Extended Features Mask, Success)","","",""
"220","23:52:33.141227","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"221","23:52:33.142109","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete","","",""
"222","23:52:33.143074","controller","host","HCI_EVT","14","Rcvd Read Remote Supported Features","","",""
"223","23:52:33.146872","controller","host","HCI_EVT","7","Rcvd Command Status (Remote Name Request)","","",""
"224","23:52:33.147743","host","controller","HCI_CMD","8","Sent Write Link Policy Settings","","",""
"225","23:52:33.149303","controller","host","HCI_EVT","9","Rcvd Command Complete (Write Link Policy Settings)","","",""
"226","23:52:33.150104","host","controller","HCI_CMD","8","Sent Write Link Supervision Timeout","","",""
"227","23:52:33.151846","controller","host","HCI_EVT","9","Rcvd Command Complete (Write Link Supervision Timeout)","","",""
"228","23:52:33.152797","host","controller","HCI_CMD","7","Sent Read Remote Extended Features","","",""
"229","23:52:33.154631","controller","host","HCI_EVT","7","Rcvd Command Status (Read Remote Extended Features)","","",""
"230","23:52:33.161750","controller","host","HCI_EVT","258","Rcvd Remote Name Request Complete","","",""
"231","23:52:33.164016","controller","host","HCI_EVT","16","Rcvd Read Remote Extended Features Complete","","",""
"232","23:52:33.164783","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a (OBDII)","L2CAP","17","Sent Connection Request (RFCOMM, SCID: 0x0040)","","",""
"233","23:52:33.168893","host","controller","HCI_CMD","8","Sent Change Connection Packet Type","","",""
"234","23:52:33.171398","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"235","23:52:33.172036","WbElectr_00:12:4a (OBDII)","AmazonTe_ad:f0:92 (Amazon Fire)","L2CAP","21","Rcvd Connection Response - Success (SCID: 0x0040, DCID: 0x0041)","","",""
"236","23:52:33.172966","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a (OBDII)","L2CAP","21","Sent Configure Request (DCID: 0x0041)","","",""
"237","23:52:33.174618","controller","host","HCI_EVT","7","Rcvd Command Status (Change Connection Packet Type)","","",""
"238","23:52:33.175527","host","controller","HCI_CMD","8","Sent Write Link Policy Settings","","",""
"239","23:52:33.176957","WbElectr_00:12:4a (OBDII)","AmazonTe_ad:f0:92 (Amazon Fire)","L2CAP","21","Rcvd Configure Request (DCID: 0x0040)","","",""
"240","23:52:33.177761","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a (OBDII)","L2CAP","19","Sent Configure Response - Success (SCID: 0x0041)","","",""
"241","23:52:33.179333","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"242","23:52:33.180695","WbElectr_00:12:4a (OBDII)","AmazonTe_ad:f0:92 (Amazon Fire)","L2CAP","19","Rcvd Configure Response - Success (SCID: 0x0040)","","",""
"243","23:52:33.181517","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a (OBDII)","RFCOMM","13","Sent SABM Channel=0 ","","",""
"244","23:52:33.183134","controller","host","HCI_EVT","6","Rcvd Max Slots Change","","",""
"245","23:52:33.185193","controller","host","HCI_EVT","8","Rcvd Connection Packet Type Changed","","",""
"246","23:52:33.186795","controller","host","HCI_EVT","9","Rcvd Command Complete (Write Link Policy Settings)","","",""
"247","23:52:33.188739","WbElectr_00:12:4a (OBDII)","AmazonTe_ad:f0:92 (Amazon Fire)","RFCOMM","13","Rcvd UA Channel=0 ","","",""
"248","23:52:33.189655","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"249","23:52:33.208522","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"250","23:52:33.315262","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"251","23:52:33.379904","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"252","23:52:33.642096","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"253","23:52:33.747831","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"254","23:52:33.755326","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","",""
"255","23:52:33.878801","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"256","23:52:33.882182","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"257","23:52:33.883775","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"258","23:52:33.885775","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"259","23:52:33.887446","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
"260","23:52:33.889680","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"261","23:52:34.355777","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a (OBDII)","RFCOMM","13","Sent DISC Channel=0 ","","",""
"262","23:52:34.371547","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"263","23:52:37.356016","AmazonTe_ad:f0:92 (Amazon Fire)","WbElectr_00:12:4a (OBDII)","L2CAP","17","Sent Disconnection Request (SCID: 0x0040, DCID: 0x0041, PSM: 0x0003, Service: RFCOMM)","","",""
"264","23:52:37.359543","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
